game_id,status,location,division,start_utc,start_local,home,away,box_score_url,summary_url,home_line,away_line,home_score,away_score,datetime,date,time
3276656,scheduled,Amherst,,2026-01-28T02:00:00+00:00,2026-01-27T22:00:00-04:00,J&K Electric,Colson Overhead Doors,https://www.amherstadulthockey.com/teams/default.asp?gameID=3276656&u=DSMALL&s=hockey&p=preview,,"{'name': 'J&K Electric', 'slug': 'j-and-k-electric', 'final': None, 'periods': [], 'is_winner': None}","{'name': 'Colson Overhead Doors', 'slug': 'colson-overhead-doors', 'final': None, 'periods': [], 'is_winner': None}",,,2026-01-27T22:00:00-04:00,01/27/2026,10:00 PM
3276661,scheduled,Amherst,,2026-02-02T01:00:00+00:00,2026-02-01T21:00:00-04:00,J&K Electric,Maltby Sports,https://www.amherstadulthockey.com/teams/default.asp?gameID=3276661&u=DSMALL&s=hockey&p=preview,,"{'name': 'J&K Electric', 'slug': 'j-and-k-electric', 'final': None, 'periods': [], 'is_winner': None}","{'name': 'Maltby Sports', 'slug': 'maltby-sports', 'final': None, 'periods': [], 'is_winner': None}",,,2026-02-01T21:00:00-04:00,02/01/2026,9:00 PM
3276663,scheduled,Amherst,,2026-02-04T00:45:00+00:00,2026-02-03T20:45:00-04:00,G.R. Mitchell Welding,J&K Electric,https://www.amherstadulthockey.com/teams/default.asp?gameID=3276663&u=DSMALL&s=hockey&p=preview,,"{'name': 'G.R. Mitchell Welding', 'slug': 'gr-mitchell-welding', 'final': None, 'periods': [], 'is_winner': None}","{'name': 'J&K Electric', 'slug': 'j-and-k-electric', 'final': None, 'periods': [], 'is_winner': None}",,,2026-02-03T20:45:00-04:00,02/03/2026,8:45 PM
3276665,scheduled,Amherst,,2026-02-04T02:00:00+00:00,2026-02-03T22:00:00-04:00,Colson Overhead Doors,Maltby Sports,https://www.amherstadulthockey.com/teams/default.asp?gameID=3276665&u=DSMALL&s=hockey&p=preview,,"{'name': 'Colson Overhead Doors', 'slug': 'colson-overhead-doors', 'final': None, 'periods': [], 'is_winner': None}","{'name': 'Maltby Sports', 'slug': 'maltby-sports', 'final': None, 'periods': [], 'is_winner': None}",,,2026-02-03T22:00:00-04:00,02/03/2026,10:00 PM
3276671,scheduled,Amherst,,2026-02-11T00:45:00+00:00,2026-02-10T20:45:00-04:00,Maltby Sports,Ultramar,https://www.amherstadulthockey.com/teams/default.asp?gameID=3276671&u=DSMALL&s=hockey&p=preview,,"{'name': 'Maltby Sports', 'slug': 'maltby-sports', 'final': None, 'periods': [], 'is_winner': None}","{'name': 'Ultramar', 'slug': 'ultramar', 'final': None, 'periods': [], 'is_winner': None}",,,2026-02-10T20:45:00-04:00,02/10/2026,8:45 PM
3276673,scheduled,Amherst,,2026-02-11T02:00:00+00:00,2026-02-10T22:00:00-04:00,G.R. Mitchell Welding,J&K Electric,https://www.amherstadulthockey.com/teams/default.asp?gameID=3276673&u=DSMALL&s=hockey&p=preview,,"{'name': 'G.R. Mitchell Welding', 'slug': 'gr-mitchell-welding', 'final': None, 'periods': [], 'is_winner': None}","{'name': 'J&K Electric', 'slug': 'j-and-k-electric', 'final': None, 'periods': [], 'is_winner': None}",,,2026-02-10T22:00:00-04:00,02/10/2026,10:00 PM
3276677,scheduled,Amherst,,2026-02-16T01:00:00+00:00,2026-02-15T21:00:00-04:00,Ultramar,Colson Overhead Doors,https://www.amherstadulthockey.com/teams/default.asp?gameID=3276677&u=DSMALL&s=hockey&p=preview,,"{'name': 'Ultramar', 'slug': 'ultramar', 'final': None, 'periods': [], 'is_winner': None}","{'name': 'Colson Overhead Doors', 'slug': 'colson-overhead-doors', 'final': None, 'periods': [], 'is_winner': None}",,,2026-02-15T21:00:00-04:00,02/15/2026,9:00 PM
3276680,scheduled,Amherst,,2026-02-18T00:45:00+00:00,2026-02-17T20:45:00-04:00,Maltby Sports,J&K Electric,https://www.amherstadulthockey.com/teams/default.asp?gameID=3276680&u=DSMALL&s=hockey&p=preview,,"{'name': 'Maltby Sports', 'slug': 'maltby-sports', 'final': None, 'periods': [], 'is_winner': None}","{'name': 'J&K Electric', 'slug': 'j-and-k-electric', 'final': None, 'periods': [], 'is_winner': None}",,,2026-02-17T20:45:00-04:00,02/17/2026,8:45 PM
3276681,scheduled,Amherst,,2026-02-18T02:00:00+00:00,2026-02-17T22:00:00-04:00,Ultramar,G.R. Mitchell Welding,https://www.amherstadulthockey.com/teams/default.asp?gameID=3276681&u=DSMALL&s=hockey&p=preview,,"{'name': 'Ultramar', 'slug': 'ultramar', 'final': None, 'periods': [], 'is_winner': None}","{'name': 'G.R. Mitchell Welding', 'slug': 'gr-mitchell-welding', 'final': None, 'periods': [], 'is_winner': None}",,,2026-02-17T22:00:00-04:00,02/17/2026,10:00 PM
3276686,scheduled,Amherst,,2026-02-23T01:00:00+00:00,2026-02-22T21:00:00-04:00,Colson Overhead Doors,Maltby Sports,https://www.amherstadulthockey.com/teams/default.asp?gameID=3276686&u=DSMALL&s=hockey&p=preview,,"{'name': 'Colson Overhead Doors', 'slug': 'colson-overhead-doors', 'final': None, 'periods': [], 'is_winner': None}","{'name': 'Maltby Sports', 'slug': 'maltby-sports', 'final': None, 'periods': [], 'is_winner': None}",,,2026-02-22T21:00:00-04:00,02/22/2026,9:00 PM
3276687,scheduled,Amherst,,2026-02-25T00:45:00+00:00,2026-02-24T20:45:00-04:00,J&K Electric,Maltby Sports,https://www.amherstadulthockey.com/teams/default.asp?gameID=3276687&u=DSMALL&s=hockey&p=preview,,"{'name': 'J&K Electric', 'slug': 'j-and-k-electric', 'final': None, 'periods': [], 'is_winner': None}","{'name': 'Maltby Sports', 'slug': 'maltby-sports', 'final': None, 'periods': [], 'is_winner': None}",,,2026-02-24T20:45:00-04:00,02/24/2026,8:45 PM
3276690,scheduled,Amherst,,2026-02-25T02:00:00+00:00,2026-02-24T22:00:00-04:00,Ultramar,G.R. Mitchell Welding,https://www.amherstadulthockey.com/teams/default.asp?gameID=3276690&u=DSMALL&s=hockey&p=preview,,"{'name': 'Ultramar', 'slug': 'ultramar', 'final': None, 'periods': [], 'is_winner': None}","{'name': 'G.R. Mitchell Welding', 'slug': 'gr-mitchell-welding', 'final': None, 'periods': [], 'is_winner': None}",,,2026-02-24T22:00:00-04:00,02/24/2026,10:00 PM
3276669,scheduled,Amherst,,2026-03-02T01:00:00+00:00,2026-03-01T21:00:00-04:00,Ultramar,Colson Overhead Doors,https://www.amherstadulthockey.com/teams/default.asp?gameID=3276669&u=DSMALL&s=hockey&p=preview,,"{'name': 'Ultramar', 'slug': 'ultramar', 'final': None, 'periods': [], 'is_winner': None}","{'name': 'Colson Overhead Doors', 'slug': 'colson-overhead-doors', 'final': None, 'periods': [], 'is_winner': None}",,,2026-03-01T21:00:00-04:00,03/01/2026,9:00 PM
